,v_x,v_y,r,omega_wheels,friction,delta,Iq,ax_imu,ay_imu,r_imu,run_id
0.0,1.211789993735704,-0.22805819252508164,-1.533993430395987,1.3188426041784411,0.6,0.0,20.332343234721346,-2.6368317261956644,-3.9541136783927313,-1.6807132679200294,0
0.01,1.196622955043401,-0.22172329640787172,-1.5270742662543053,1.3124556130699172,0.6,-0.07386652449206069,22.615017599367217,-2.1878452618294935,-1.1388725457015498,-1.6563425327926915,0
0.02,1.2100020759736192,-0.22259061126216712,-1.5585366224448078,1.3084721355478601,0.6,-0.13745759933109905,23.151692777972226,-3.1154918904864433,-1.313008306652579,-1.6365450937046102,0
0.03,1.2163029825886535,-0.22365680535540836,-1.5602082513660183,1.3108774582572658,0.6,-0.1922026252679673,22.574248055069415,-1.7886999162097097,0.5072467814552896,-1.6259364363389979,0
0.04,1.2131389755590716,-0.22642430414027964,-1.5630835811650121,1.3318972010518226,0.6,-0.2393321614869167,24.22671527795287,-0.8132729874095304,-3.223374721675137,-1.5520536141995984,0
0.05,1.2145688468001135,-0.23128955623783967,-1.5782428014499141,1.346515267079874,0.6,-0.2799055861259831,25.766600617673028,-2.6397966246155975,-4.557997091486792,-1.5858920720508778,0
0.06,1.221332334722237,-0.23395996774607136,-1.5958965224950536,1.3721963343530843,0.6,-0.3148349089882801,27.445309234129866,-2.107565413717971,-3.715557819192428,-1.6006997182390035,0
0.07,1.2286800317913738,-0.23840152784107138,-1.6128782570885472,1.377374907480323,0.6,-0.3449052717065368,26.844356800074497,0.3437293538260331,-2.8625958363259576,-1.7030785103925727,0
0.08,1.234740185319721,-0.23920790121609486,-1.61630178322997,1.3905041432962333,0.6,-0.37079259616376403,24.395347961237754,3.4041349164833825,-0.47479635262322484,-1.565728445843676,0
0.09,1.2446453023683566,-0.24657982785188998,-1.6291769898278938,1.4101729062023085,0.6,-0.3930787778714054,24.492829191120208,2.15211052485434,-4.117474086590727,-1.409091103461508,0
